Ticker,Name
FGEN,Fibrogen Inc
FIVN,Five9 Inc
FLKS,Flex Pharma Inc
FLXN,Flexion Therapeutics Inc
FMSA,Fmsa Holdings Inc
FNBC,First Nbc Bank Holding Company
FNFV,Fnfv Group of Fidelity National
FOMX,Foamix Pharmaceuticals Ltd
FOR,Forestar Group Inc
FRO,Frontline Ltd
FRPH,Frp Holdings Inc
FSAM,Fifth Street Asset Management I
FSB,Franklin Financial Network Inc
GEO,Geo Group Inc
GEOS,Oyo Geospace Corp
GLOG,Gaslog Ltd
GNBC,Green Bancorp Inc
GNCA,Genocea Biosciences Inc
GOGL,Golden Ocean Group Ltd
GRBK,Green Brick Partners Inc
GRUB,Grubhub Inc
GTLS,Chart Industries
GTT,Global Telcom & Technology Inc
HABT,The Habit Restaurants Inc
HAYN,Haynes International
HCHC,Hc2 Holdings Inc
HCKT,The Hackett Group
HEI.A,Heico Cp Cl A
HIFR,Infrareit Inc
HIFS,Hingham Institution For Savings
HIVE,Aerohive Networks Inc
HLX,Helix Energy Solutions Group
HNH,Handy & Harman Ltd
HPY,Heartland Payment Systems
HQY,Healthequity Inc
HRTG,Heritage Insurance Holdings
HRTX,Heron Therapeutics Inc
HTWR,Heartware International
HUBS,Hubspot Inc
HYH,Halyard Health Inc. Common Sto
I,Intelsat S.A. Common Shares
IBP,Installed Building Products I
ICD,Independence Contract Drilling Inc
IMDZ,Immune Design Corp
IMPR,Imprivata Inc
INO,Inovio Pharmaceuticals
IOSP,Innospec Inc
IRMD,Iradimed Corporation
IXYS,Ixys Corp
JMG,Journal Media Group Inc. Commo
KBAL,Kimball International Inc
KE,Kimball Electronics Inc
KELYA,Kelly Services
KITE,Kite Pharma Inc
KLXI,Klx Inc
KN,Knowles Corporation Common Stoc
KS,Kapstone Paper and Packaging Corp
KTWO,K2M Group Holdings Inc
LADR,Ladder Capital Corp
LE,Lands' End Inc
LOCO,El Pollo Loco Holdings Inc
LOXO,Loxo Oncology Inc
LPG,Dorian Lpg Ltd
LQ,La Quinta Holdings Inc
LTRPA,Liberty Tripadvisor Holdings I
LTXB,Legacytexas Financial Group Inc
LXFT,Luxoft Holding Inc
LXRX,Lexicon Pharmaceuticals
MC,Moelis
MDLY,Medley Management Inc
MEI,Methode Electronics
MIFI,Novatel Wireless
MOG.A,Moog Inc
MORE,Monogram Residential Trust In
MXPT,Maxpoint Interactive Inc
NADL,North Atlantic Drilling Ltd. Co
NAT,Nordic American Tanker Shipping Ltd
NEFF,Neff Corp
NEWR,New Relic Inc
NGHC,National General Holdings Corp
NHTC,Natural Health Trends Corp
NM,Navios Maritime Holdings Inc
NOG,Northern Oil and Gas
NSA,National Storage Affiliates Tru
NVRO,Nevro Corp
NVTA,Invitae Corp
NWBO,Northwest Biotherapeutics
NWE,Northwestern Corp
NXRT,Nexpoint Residential Trust Inc
NYRT,New York REIT Inc
OB,Onebeacon Insurance Group
OCAT,Ocata Therapeutics Inc
OCUL,Ocular Therapeutix Inc
OMAM,Om Asset Management Ltd
ONDK,On Deck Capital Inc
OPB,Opus Bank
OTIC,Otonomy Inc
PAHC,Phibro Animal Health Corp
PARR,Par Petroleum Corp
PAYC,Paycom Software Inc
PB,Prosperity Bancshares
PDVW,Pacific Datavision Inc
PE,Parsley Energy
PES,Pioneer Energy Services Corp
PFBC,Preferred Bank
PFNX,Pfenex Inc
PGND,Pga Holdings Inc
PHIIK,PHI Inc
PN,Patriot National Inc
PRAH,Pra Health Sciences Inc
PRIM,Primoris Services Corp
PRTO,Proteon Therapeutics Inc
PRTY,Party City Holdco Inc
PSG,Performance Sports Group Ltd
QADA,Qad Inc
QTWO,Q2 Holdings Inc
RDNT,Radnet Inc
RDUS,Radius Health Inc
REI,Ring Energy Inc
REIS,Reis Inc
RELY,Signature Group
RKDA,Arcadia Biosciences Inc
ROIC,Retail Opportunity Investments
RUBI,The Rubicon Project Inc
RUSHA,Rush Enterprises
RVNC,Revance Therapeutics Inc
RXDX,Ignyta Inc
RYAM,Rayonier Advanced Materials Inc
RYI,Ryerson Holding Corp
SAGE,Sage Therapeutics Inc
SAIA,Saia Inc
SALT,Scorpio Bulkers Inc. Common Sto
SB,Safe Bulkers Inc
SFBS,Servisfirst Bancshares Inc
SFL,Ship Finance International
SFS,Smart
SGBK,Stonegate Bank [Fl]
SHAK,Shake Shack Inc
SIEN,Sientra Inc
SIXD,6D Global Technologies Inc
SPKE,Spark Energy Inc
SPNS,Sapiens International Corporation N.V.
SPOK,Spok Holdings Inc
SPWH,Sportsman'S Warehouse Holdi
SQBG,Sequential Brands Group Inc
SSB,South State Corporation
STNG,Scorpio Tankers Inc
SUM,Summit Materials Inc
SYUT,Synutra International
SZMK,Sizmek Inc
TBK,Triumph Bancorp Inc
TBPH,Theravance Biopharma Inc
TBRA,Tobira Therapeutics Inc
TGH,Textainer Group Holdings
THRM,Gentherm Inc
TIME,Time Inc. Common Stock When Iss
TIPT,Tiptree Financial Inc
TKAI,Tokai Pharmaceuticals Inc
TLMR,Talmer Bancorp Inc
TLN,Talen Energy Corporation
TMST,Timken Steel Corporation Common
TNET,Trinet Group Inc
TNK,Teekay Tankers Ltd
TOWN,Towne Bank
TPUB,Tribune Publishing Company Comm
TREC,Trecora Resources
TRUP,Trupanion Inc
TSE,Trinseo S.A.
TSQ,Townsquare Media Llc
TTOO,T2 Biosystems Inc
TUBE,Tubemogul Inc
TVPT,Travelport Worldwide Ltd
TWOU,2U Inc
UDF,United Development Funding IV
UE,Urban Edge Properties Common Sh
ULTR,Ultrapetrol [Bahamas] Ltd
UUUU,Energy Fuels Inc
VA,Virgin America Inc
VEC,Vectrus Inc. Common Stock
VHC,Virnetx Holding Corp
VIRT,Virtu Financial Inc
VRNS,Varonis Systems Inc
VRTV,Veritiv Corporation Common Stoc
VSAR,Versartis Inc
VSLR,Vivint Solar Inc
VTAE,Vitae Pharmaceuticals Inc
VTL,Vital Therapies Inc
W,Wayfair Inc
WK,Workiva Llc
WLH,William Lyon Homes
WSR,Whitestone REIT
XBIT,Xbiotech Inc
XCRA,Xcerra Corp
XENT,Intersect Ent Inc
XHR,Xenia Hotels & Resorts Inc
ZAIS,Zais Group Holdings Inc
ZEN,Zendesk Inc
ZFGN,Zafgen Inc
ZIOP,Ziopharm Oncology Inc
ZOES,Zoe'S Kitchen Inc
